127.0.0.1 - - [28/May/2022:15:16:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:45 +0900] "GET /community/ HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:45 +0900] "GET /community/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:47 +0900] "GET /community/member/selectAll HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:49 +0900] "GET /community/board/list?type=1 HTTP/1.1" 200 9172
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:49 +0900] "GET /community/resources/js/member/myPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:49 +0900] "GET /community/resources/css/boardList-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/board/detail?no=500&cp=1&type=1 HTTP/1.1" 200 9088
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/resources/css/reply-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/resources/css/boardDetail-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/resources/js/board/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/resources/js/board/reply.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/resources/images/board/sample1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/resources/images/board/sample5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/resources/images/board/sample2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/resources/images/board/sample4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:50 +0900] "GET /community/resources/images/board/sample3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2022:15:16:58 +0900] "GET /community/reply/selectReplyList?boardNo=500 HTTP/1.1" 200 281
